wellName;datasetName;DEPTH;BOREHOLE_AZIMUTH_GN;BOREHOLE_DEVIATION;GR;LIT;RACHM;RACLM;RACSHM;RACSLM;ROP_AVG;RPCHM;RPCLM;RPCSHM;RPCSLM;RPTH1M;RPTHM;TCDM;TVD;TVDSS
;;m;°;°;API;unitless;ohm.m;ohm.m;ohm.m;ohm.m;m/hr;ohm.m;ohm.m;ohm.m;ohm.m;hr;min;degC;m;m
fff30GS;42230GS;3278,6;-9999;77,5198708265879;64,88;-9999;6008,312;0,991;0,049;-0,038;17,15;61625,289;0,124;0,226999998092651;0,194000005722046;;0,9;77,8;2646,26;2592,02
fff30GS;42230GS;3278,7;-9999;77,5323176779067;65,57;-9999;6008,312;0,987;0,049;-0,042;17,42;61625,289;0,033;0,187999993562698;0,164000004529953;;0,9;77,8;2646,29;2592,05
fff30GS;42230GS;3278,8;-9999;77,5447645524761;62,9;-9999;6008,312;0,52;0,049;-0,04;17,29;61625,289;4,397;0,187000006437302;0,187000006437302;;0,9;77,8;2646,31;2592,07
fff30GS;42230GS;3278,9;-9999;77,5572114502697;63,33;-9999;6008,312;1,156;0,049;-0,043;17,64;61625,289;0,041;0,181999996304512;0,187000006437302;;0,9;77,8;2646,34;2592,1
fff30GS;42230GS;3279;-9999;77,5696583712614;66,64;-9999;6008,312;0,98;0,05;-0,04;18,06;61625,289;0,055;0,200000002980232;0,195999994874001;;0,9;77,7;2646,37;2592,13
fff30GS;42230GS;3279,1;-9999;77,582105315425;67,88;-9999;6008,312;0,478;0,05;-0,04;18,51;61625,289;0,206;0,214000001549721;0,181999996304512;;0,9;77,7;2646,39;2592,15
fff30GS;42230GS;3279,2;-9999;77,5945522827344;68,37;-9999;6008,312;0,592;0,05;-0,04;18,41;61625,289;7420,263;0,19200000166893;0,187000006437302;;0,9;77,7;2646,41;2592,17
fff30GS;42230GS;3279,3;-9999;77,6069992731634;67,53;-9999;6008,312;0,705;0,049;-0,039;18,1;61625,289;14840,321;0,168999999761581;0,190999999642372;;0,9;77,7;2646,44;2592,2
fff30GS;42230GS;3279,4;-9999;77,6194462866858;65,48;-9999;6008,312;0,644;0,05;-0,039;17,84;61625,289;22260,186;0,19200000166893;0,197999998927116;;0,9;77,7;2646,46;2592,22
fff30GS;42230GS;3279,5;-9999;77,6318933232756;63,95;-9999;6008,312;0,933;0,049;-0,038;17,68;61625,289;0,061;0,190999999642372;0,215000003576279;;0,9;77,7;2646,48;2592,24
fff30GS;42230GS;3279,6;-9999;77,6443403829066;65,6;-9999;6008,312;0,933;0,05;-0,035;18,09;61625,289;0,041;0,187999993562698;0,196999996900558;;0,9;77,7;2646,51;2592,27
fff30GS;42230GS;3279,7;-9999;77,6567874655526;65,62;-9999;6008,312;866,23;0,05;-0,039;19,07;61625,289;44519,973;0,218999996781349;0,194999992847443;;0,9;77,6;2646,53;2592,29
fff30GS;42230GS;3279,8;-9999;77,6692345711877;64,91;-9999;6008,312;0,447;0,049;-0,037;19,35;61625,289;0,244;0,19200000166893;0,216999992728233;;0,9;77,6;2646,55;2592,31
fff30GS;42230GS;3279,9;-9999;77,6816816997856;64,42;-9999;6008,312;0,692;0,05;-0,038;18,47;61625,289;0,279;0,20100000500679;0,206000000238419;;0,9;77,6;2646,58;2592,34
fff30GS;42230GS;3280;-9999;77,6941288513203;63,43;-9999;6008,312;0,607;0,05;-0,041;18,4;61625,289;12,449;0,168999999761581;0,178000003099442;;0,9;77,6;2646,61;2592,37
fff30GS;42230GS;3280,1;-9999;77,7065760257658;64,71;-9999;6008,312;0,787;0,05;-0,038;19,39;61625,289;0,073;0,188999995589256;0,214000001549721;;0,9;77,6;2646,62;2592,38
fff30GS;42230GS;3280,2;-9999;77,7190232230959;66,67;-9999;6008,312;0,523;0,05;-0,039;18,59;61625,289;0,158;0,159999996423721;0,19200000166893;;0,9;77,6;2646,65;2592,41
fff30GS;42230GS;3280,3;-9999;77,7314704432845;65,55;-9999;6008,312;0,726;0,049;-0,037;18,41;61625,289;0,708;0,167999997735023;0,23199999332428;;0,9;77,6;2646,68;2592,44
fff30GS;42230GS;3280,4;-9999;77,7439176863058;65,86;-9999;6008,312;0,385;0,05;-0,039;18,19;61625,289;22260,019;0,196999996900558;0,193000003695488;;0,9;77,6;2646,7;2592,46
fff30GS;42230GS;3280,5;-9999;77,7563649521335;65,92;-9999;6008,312;0,802;0,05;-0,041;17,97;61625,289;0,301;0,18299999833107;0,17399999499321;;0,9;77,6;2646,72;2592,48
fff30GS;42230GS;3280,6;-9999;77,7688122407417;66,16;-9999;6008,312;0,865;0,05;-0,038;18,02;61625,289;22260,002;0,181999996304512;0,194999992847443;;0,9;77,5;2646,75;2592,51
